Occurred On (NT),Cleared On (NT),MO Name,Name
01/01/2025 18:53,01/01/2025 18:55,"NodeB Name=NLECDJ0555, LogicRNCID=140",NodeB Unavailable
01/01/2025 23:39,01/01/2025 23:43,"NodeB Name=NLEMTY0859, LogicRNCID=140",NodeB Unavailable
02/01/2025 00:32,02/01/2025 00:37,"NodeB Name=NLEANH0505, LogicRNCID=141",NodeB Unavailable
02/01/2025 00:32,02/01/2025 00:37,"NodeB Name=NLEVCI1001, LogicRNCID=140",NodeB Unavailable
02/01/2025 00:51,02/01/2025 00:57,"NodeB Name=NLEANH0505, LogicRNCID=141",NodeB Unavailable
02/01/2025 00:51,02/01/2025 00:57,"NodeB Name=NLEVCI1001, LogicRNCID=140",NodeB Unavailable
02/01/2025 01:17,02/01/2025 01:19,"NodeB Name=SUGUACEL7081Z, LogicRNCID=162",NodeB Unavailable
02/01/2025 01:30,02/01/2025 01:32,"NodeB Name=SUGUACEL7081Z, LogicRNCID=162",NodeB Unavailable
02/01/2025 01:37,02/01/2025 01:38,"NodeB Name=NLECDJ0555, LogicRNCID=140",NodeB Unavailable
02/01/2025 01:53,02/01/2025 01:54,"NodeB Name=NLECDJ0555, LogicRNCID=140",NodeB Unavailable
02/01/2025 01:55,02/01/2025 01:56,"NodeB Name=NLECDJ0555, LogicRNCID=140",NodeB Unavailable
02/01/2025 01:58,02/01/2025 02:00,"NodeB Name=NLECDJ0555, LogicRNCID=140",NodeB Unavailable
02/01/2025 02:01,02/01/2025 02:03,"NodeB Name=NLECDJ0555, LogicRNCID=140",NodeB Unavailable
02/01/2025 02:04,02/01/2025 02:09,"NodeB Name=NLEGRS2178, LogicRNCID=140",NodeB Unavailable
02/01/2025 02:10,02/01/2025 02:11,"NodeB Name=NLEGRS2178, LogicRNCID=140",NodeB Unavailable
02/01/2025 02:11,02/01/2025 02:19,"NodeB Name=SLPSLP1484, LogicRNCID=162",NodeB Unavailable
02/01/2025 02:11,02/01/2025 02:15,"NodeB Name=NLEGRS2178, LogicRNCID=140",NodeB Unavailable
02/01/2025 02:23,02/01/2025 02:28,"NodeB Name=NLEAPO0523, LogicRNCID=140",NodeB Unavailable
02/01/2025 02:23,02/01/2025 02:26,"NodeB Name=NLEAPO0510, LogicRNCID=140",NodeB Unavailable
02/01/2025 02:30,02/01/2025 02:35,"NodeB Name=NLEAPO0523, LogicRNCID=140",NodeB Unavailable
02/01/2025 02:30,02/01/2025 02:33,"NodeB Name=NLEAPO0510, LogicRNCID=140",NodeB Unavailable
02/01/2025 02:40,02/01/2025 02:44,"NodeB Name=NLEMTY0859, LogicRNCID=140",NodeB Unavailable
02/01/2025 02:49,02/01/2025 02:54,"NodeB Name=NLEANH0505, LogicRNCID=141",NodeB Unavailable
02/01/2025 02:49,02/01/2025 02:54,"NodeB Name=NLEVCI1001, LogicRNCID=140",NodeB Unavailable
02/01/2025 02:53,02/01/2025 02:57,"NodeB Name=GUASAL0479, LogicRNCID=160",NodeB Unavailable
02/01/2025 04:46,02/01/2025 04:52,"NodeB Name=NLEANH0505, LogicRNCID=141",NodeB Unavailable
02/01/2025 04:46,02/01/2025 04:52,"NodeB Name=NLEVCI1001, LogicRNCID=140",NodeB Unavailable
02/01/2025 05:34,02/01/2025 05:38,"NodeB Name=NLEMTY0859, LogicRNCID=140",NodeB Unavailable
02/01/2025 06:16,02/01/2025 11:13,"NodeB Name=NLECDJ0555, LogicRNCID=140",NodeB Unavailable
02/01/2025 07:34,02/01/2025 07:42,"NodeB Name=COAART0275, LogicRNCID=140",NodeB Unavailable
02/01/2025 07:34,02/01/2025 07:42,"NodeB Name=COAART2193, LogicRNCID=140",NodeB Unavailable
02/01/2025 07:34,02/01/2025 07:42,"NodeB Name=COAART0278, LogicRNCID=140",NodeB Unavailable
02/01/2025 07:34,02/01/2025 07:42,"NodeB Name=COAART0279, LogicRNCID=140",NodeB Unavailable
02/01/2025 08:15,02/01/2025 08:17,"NodeB Name=GUALEO0340, LogicRNCID=160",NodeB Unavailable
02/01/2025 08:16,02/01/2025 08:20,"NodeB Name=COATOR0400, LogicRNCID=140",NodeB Unavailable
02/01/2025 09:03,02/01/2025 09:05,"NodeB Name=NLEMTY0794, LogicRNCID=140",NodeB Unavailable
02/01/2025 09:44,04/01/2025 11:49,"NodeB Name=COAMCV1915, LogicRNCID=140",NodeB Unavailable
02/01/2025 10:04,02/01/2025 10:06,"NodeB Name=COANVA0304, LogicRNCID=140",NodeB Unavailable
02/01/2025 11:44,02/01/2025 12:12,"NodeB Name=MUTAMMTS4165, LogicRNCID=141",NodeB Unavailable
02/01/2025 12:42,02/01/2025 13:03,"NodeB Name=QTOQTO2169, LogicRNCID=162",NodeB Unavailable
02/01/2025 12:59,02/01/2025 14:36,"NodeB Name=MUCOARAM4112, LogicRNCID=140",NodeB Unavailable
02/01/2025 13:04,02/01/2025 13:05,"NodeB Name=GUAFRI0207, LogicRNCID=160",NodeB Unavailable
02/01/2025 13:04,02/01/2025 13:09,"NodeB Name=GUAPUR1853, LogicRNCID=160",NodeB Unavailable
02/01/2025 13:04,02/01/2025 13:10,"NodeB Name=GUAPUR1851, LogicRNCID=160",NodeB Unavailable
02/01/2025 13:04,02/01/2025 13:10,"NodeB Name=GUAPUR2410, LogicRNCID=160",NodeB Unavailable
02/01/2025 13:04,02/01/2025 13:10,"NodeB Name=GUAPUR0462, LogicRNCID=160",NodeB Unavailable
02/01/2025 13:10,02/01/2025 13:11,"NodeB Name=GUAPUR0462, LogicRNCID=160",NodeB Unavailable
